TMT	BLOCK	PLOT	TREE	SPECIES	ORIG COND	85 DIA	85 COND	90 DIA	90 COND	95 DIA	95 COND	00 DIA	00 COND	09 DIA	09 COND	20 DIA	20 COND	2020 Notes	13 COND	NOTES 2013	NOTES    edited or added 2011 EH										
1	2	E	19	DF	1									 	4		4	missing 2020			missing	OK									
1	2	E	20	DF	1	43.3	1	46.7	1	50.2	1	52.7	1	57.2	1	62.4	1					OK									
1	2	E	23	HL						16.4	1	21.3	1	26.8	1	31.5	1					OK									
1	2	E	26													19.4	1														
1	2	E	29													23.6	1	Nurse Log													
1	3	A	1	HL	1	23.3	1	24.1	1	25.2	1	25.9	1	27.4	1	29.1	1	Tag 4944				OK									
1	3	A	2	DF	1	29.4	1	29.8	1	30	1	30.1	1	30.6	4		4	Dead			09-DEAD STANDING	OK									
1	3	A	3	DF	1	45	1	47.7	1	48.8	1	52.4	1	56.1	1	60.4	1					OK									
1	3	A	4	DF	1	37.6	1	38.9	1	40.5	1	41.9	1	44.3	1	46.8	1					OK									
1	3	A	5	HL	1	29.7	1	32	1	33.4	1	35.1	1	37	1	37.7	1				09- species HL	OK									
1	3	A	6	DF	1	38.8	1	43.6	1	45.4	1	48.3	1	54.3	1	61.3	1					OK									
1	3	A	7	DF	1	28.8	1	29.2	1	29.5	1	29.5	1	29.8	2	29.8	4	"Dead, snag"				OK		"Notes 2009: GPS Coordinates +- 27ft.,N 44.52576, W123.54476"							
1	3	A	8	DF	4		4	45	4		4		4	 	4		4				"00-BROKEN TOP-09- on ground repainted, broken below DBH"		OK	For plot 1-3A		Garmin 60c  waypoint79					
1	3	A	9	DF	1	23.9	1	25.2	1	26.5	1	26.8	1	27.2	2	28.4	4	"Dead, snag"			09- almost no crown	OK									
1	3	A	10	DF	1	37.2	1	39.4	1	41.4	1	43.5	1	46.4	1	49.5	1					OK									
1	3	A	11	DF	1	41.2	1	42.9	1	44.1	1	46	1	48.3	1	49.9	1					OK									
1	3	A	12	DF	1	36.1	1	37.1	1	38.3	1	39.5	1	42.2	1	45.5	1					OK									
1	3	A	13	DF	1	19.4	1	19.8	1	20.5	1		4	 	4		4				00-DEAD STANDING-09-standing dead		OK								
1	3	A	14	DF	1	17.7	1	17.8	3		4		4	 	4		4					OK									
1	3	A	15	DF	1	19.4	1	19.6	1	19.6	1		4	 	4		4				00-DOWN-ROOT ROT-BROWN ROT NOT PW				OK						
1	3	A	16	DF	1	41.2	1	44.6	1	45.8	1	49.2	1	54	1	58.5	1				0= HARVESTED- STUMP	OK									
1	3	A	17	DF	1	22.8	1	23.5	1	24.5	1	24.4	1	25.1	1	25.4	1				"1= GREEN TREE, HEALTHY"	OK									
1	3	A	18	HL	1	20.7	1	21.2	1	21.9	1	22.4	1	23.8	1	25.3	1					OK									
1	3	A	19	DF	1	22.3	1	23.3	1	24.5	1	24.8	1	25.8	1	25.8	4	"Dead, snag"			2= LIVE TREE WITH SYMPTOMS	OK									
1	3	A	20	DF	1	26.6	1	27.9	1	29.2	1	29.5	1	30.3	1	30.7	2	Thin crown			3= PW	OK									
1	3	A	21	DF	1	55.7	1	58.3	1	61	1	64.1	1	69.2	1	74.4	1				4= DEAD NOT PW	OK									
1	3	A	22	HL	1	18.9	1	19.3	1	19.7	1	20.3	1	21.3	1	22.9	1				09-lost top previously	OK									
1	3	A	23	DF	1	28.3	1	29	1	29.1	1	29.3	1	29.4	4		4	"Dead, snag"			5= STANDING DEAD PROBABLE BEETLES	OK									
1	3	A	24	DF	1	33.5	1	36.4	1	38.9	1	41.2	1	45.8	1	50	1					OK									
1	3	B	1	HL	1	27.7	1	28.2	1	28.8	1	28.7	1	29.2	1	29.2	1	Tag 4712				OK									
1	3	B	2	HL	1	35.8	1	36.6	1	36.2	1	35.9	1	37.4	1	36.4	1	Double top			09- branches at 15ft	OK									
1	3	B	3	DF	1	60	1	63	1	65.9	1	68.9	1	74.6	1	79.9	1					OK									
1	3	B	4	DF	1	54.8	1	57.7	1	60.6	1	63.1	1	68.4	1	73.7	1				09- codominate with #3	OK									
1	3	B	5	DF	1	31.8	1	32.2	1	32.5	1	32.3	4		4		4	"Dead, snag"			"00-DEAD STANDING-NO OBV. ECTO, 09- down broken at DBH"				OK						
1	3	B	7	RC	1	16.4	1	16.3	2	16.5	1	16.3	1	16.6	2	16.4	2					OK									
1	3	B	8	DF	1	35.5	1	37	1	36.9	1	37.5	1	38.8	1	39	1					OK		For plot 1-3B							
1	3	B	9	HL	1	31.5	1	31.6	1	32.6	1	33.1	1	34.8	1	34.9	1					OK		"2009 GPS Notes: + or - 19ft, N44.52694, W 123.54548, in degrees, waypoint 80 Garmin 60c "							
1	3	B	10	DF	1	70	1	72.9	1	76.3	1	79.7	1	86.7	1	98.8	1					OK									
1	3	B	11	HL	1	27.1	1	27.6	1	27.9	1	28.6	1	29.5	2	30.2	2				09- scar down side	OK									
1	3	B	12	DF	1	48.4	1	50.8	1	52.7	1	54.9	1	59.5	1	63.4	1				0= HARVESTED- STUMP	OK									
1	3	B	13	DF	1	52.2	1	55.6	1	56	1	58.8	1	63.6	1	67.8	1				"1= GREEN TREE, HEALTHY"	OK									
1	3	B	14	RA	1	17.9	4		4		4		4	 	4		4														
1	3	B	15	RA	1	30.6	1	30.8	1	30.8	1		4	 	4		4					00-DEAD STANDING OK									
1	3	B	16	DF	1	37.7	1	39.6	1	41.5	1	43.6	1	45.5	1	47.8	1				2= LIVE TREE WITH SYMPTOMS	OK									
1	3	B	17	DF	3		3		3		3		3		3		3				3= PW	OK									
1	3	B	18	DF	3		3		3		3		3		3		3				4= DEAD NOT PW	OK									
1	3	B	19	HL	1	25.7	1	25.5	1	25	1	25.5	4	25.2	4	25.2	3	"Dead, snag, LRR!"			"00-DEAD STANDING, 09- dead standing hollow OK"										
1	3	B	20	DF	1	21.7	1	21.7		21.5	3		3		3		3				5= STANDING DEAD PROBABLE BEETLES	OK									
1	3	B	21	DF	3		3		3		3		3		3		3					OK									
1	3	B	22	HL	1	29.9	1	29.8	1	29.9	1	30.3	1	30.8	1	31.2	1				09- crown damaged year ago decent releaf area	OK									
1	3	B	23	HL	1	48.8	1	51.4	1		1	56.3	1	 	4		4				09- down across creek	OK									
1	3	B	24	DF	1	17.7	4		4					 	4		4					OK									
1	3	B	25	HL	1	27.5	1	28.2	1	28.6	1	29.3	1	 	1						yellow jackets	OK									
1	3	B	26	HL	1	20	1	20.4	1	21.5	1	22.1	1	 	1						yellow jackets	OK									
1	3	B	27	HL	1	46.2	1	47.4	1	48.8	1	50.8	1	 	1						yellow jackets	OK									
1	3	B	28	HL	1	16.1	1	15.7	1		4		4	 	4		4					OK									
1	3	B	29	HL						17	1	17.1	1	 	1						yellow jackets	OK									
1	3	B	30	HL						16.6	1	17.3	1	17.1	2	 		Missing			yellow jackets at the base of this grouping of trees	OK									
1	3	C	1	HL	1	38.1	1	41.3	1	44	1	46.5	1	50.1	1	53.8	1					OK									
1	3	C	2	DF	1	56.8	1	60	1	62.6	1	65	1	69.2	1	73.5	1					OK									
1	3	C	3	RA	1	20.2	4		4		4		4	 	4		4					OK									
1	3	C	4	DF	1	68.8	1	71.8	1	75.7	1	77.5	1	83.1	1	87	1					OK									
1	3	C	5	DF	1	56.4	1	58.3	1	59.6	1	62.2	1	65.4	1	67.1	1					OK		GPS NOTES 2009: + OR - 30FT 							
1	3	C	6	BM	4	20.5	4		4		4		4	 	4		4					OK		GARMIN 60c  WAYPOINT 77 							
1	3	C	7	HL	1	48.1	1	49.3	1	51.4	1	52	1	54	1	56.8	1					OK		"N 44.52836, W 123.54231"							
1	3	C	8	DF	1	23.2	1	23		23.3	1	23.1	1	23.7	4		4	Dead and downed.			09-DEAD STANDING	OK		 IN DEGREES							
1	3	C	9	RA	1	18	1	17.9	4		4		4	 	4		4					OK		FOR PLOT 1-3C							
1	3	C	10	DF	1	63.8	1	65.8	1	67.4	1	69.7	1	72.9	1	76.6	1	Double top.				OK									
1	3	C	11	HL	1	54.4	1	56.3	1	58.5	1	61.1	1	64	1	67.1	1					OK									
1	3	C	12	DF	1	68.6	1	73.4	1	78.3	1	82.1	1	90	1	100.1	1					OK									
1	3	C	13	DF	1	52.8	1	55.6	1	58.1	1	61	1	66.1	1	71	1					OK									
1	3	C	14	GF	1	50.2	1	51.7	1	52.9	1	53.9	1	54.8	1	54.5	1	Tag#4662			09 - flagging	00-PROB. NOBLE FIR OK									
1	3	C	15	HL												17.9	1	Added - 20													
1	3	D	1	HL	1	58	1	60.3	1	62.6	1	65.4	1	69.5	1	74.7	1				4= DEAD NOT PW	OK									
1	3	D	2	DF	1	60.2	1	62.6	1	64.5	1	67.1	1	70.7	1	74.5	1				09- RED FLAGGING	OK									
1	3	D	3	HL	1	51.5	1	52.7	2	55.4	1	58	1	62.5	1	65.2	1	Double stem			5= STANDING DEAD PROBABLE BEETLES	OK	GPS NOTES FOR 2009: PLOT 1-3D								
1	3	D	4	DF	1	64	1	65.3	1	67.2	1	68.8	1	72	1	75.7	1					OK	GARMIN 60c  WAYPOINT 76 								
1	3	D	5	DF	1	69	1		3		3		3	 	3		3				0= HARVESTED- STUMP	OK	"N44.52796, W 123.54221 IN DEGREES"								
1	3	D	6	DF	1	66.8	1	69.3	1	71.1	1	73	1	76.5	1	80.3	1				"1= GREEN TREE, HEALTHY"	OK	ACCURACY + OR- 21 FT								
1	3	D	7	DF	1	64	1	66.3	1	69.5	1	73.1	1	79.1	1	86	1				2= LIVE TREE WITH SYMPTOMS	OK									
1	3	D	8	HL	1	42.1	1	44.3	1	47.3	1	49.3	1	52.7	1	55.9	1	Tag 4165				OK									
1	3	D	9	DF	1	58.9	1	60.2	1	63.6	1	64.4	1	67.8	1	70.6	1				3= PW	OK									
1	3	E	1	DF	1	41.7	1	43.3	1	43.7	3		3	 	3		3	"Dead, snag"			"09-standing dead, metal tag"	00-BROKEN DEAD STANDING OK									
1	3	E	2	DF	1	24	1	26.7	1	29.6	1	31.8	1	37.5	1	42.6	1					OK									
1	3	E	3	HL	1	25.7	1	29.9	1	34.7	1	39	1	45.2	1	49.9	1	Tag 4478				OK									
1	3	E	4	DF	3	34.9	3		3		3		3	 	3		3					OK									
1	3	E	5	HL	1	28.6	1	32.5	1	36	1	40.3	1	46.4	1	52	1					OK	GPS NOTES FOR 2009: PLOT 1-3E 								
1	3	E	6	HL	1	27.3	1	31.2	1	35.5	1	40	1	46.6	1	52.8	1					OK	GARMIN 60c  WAYPOINT 78								
1	3	E	7	DF	1	30.5	1			34.2	1	36.1	1	39	1	41.8	1				09- BROKEN TOP LONG TIME AGO	OK	"N44.52541, W 123.54413 IN DEGREES"			ACCURACY + OR- 31FT					
1	3	E	8	DF	1	22.5	1	23.6	1	24.7	1	25.8	1	28.4	1	28.5	1				09- SUPPRESSED	OK									
1	3	E	9	DF	1	49.7	1	52.5	1	55.4	1	57.7	1	60.5	1	65.5	1	" 12.5 meters from DF 1, could be out"				OK									
1	3	E	10	HL	2	32.7	2	34.4	1	35.1	2	36.2	2	35.8	2	35.9	2	"Leaning, possible rot"			09- leaning on big DF	00-ALIVE-PW OK									
1	4	B	1	DF	1	36.2	1	37.8	1	39.7	1	41.4	1	44.5	1	49.4	1	Tag 4664				OK									
1	4	B	2	RA	1	40.3	1	40.3	1	39.7	1	40.6	1		4		4				"09- PROBABLY DEAD, DOWNED ALDER AT ASSUMED POSITION OF TREE 2, BARK HAS BEEN CHEWED OFF"	OK									
1	4	B	3	DF	1	35.4	1	37.5	1	39	1	41.2	1	44.6	1	48.9	1					OK									
1	4	B	4	RA	1	28.8	1	28.7	1		4		4	 	4		4					OK									
1	4	B	5	BM	1	24.6	1	25.8	1	25.3	1	25.4	1	27.2	2	26.5	2					OK									
1	4	B	6	DF	1	51.6	1	54	1	55.7	1	59.2	1	64.1	1	66.6	1					OK									
1	4	B	7	DF	1	48.9	1	50	1	52.5	1	55	1	58.2	1	60.3	1					OK									
1	4	B	8	DF	1	20.2	4		4		4		4	 	4		4					OK									
1	4	B	9	DF	1	24	1	23.9	1	23.9	4				4	 	4	Missing			09-TREE BROKEN TOP OFF	OK	NOTES 2009 FOR PLOT 1-4B: 								
1	4	B	10	DF	1	55.3	1	58.4	1	61.2	1	64.8	1	70.3	1	75.3	1				09- SOME INSECT DAMAGE	OK	"GPS N44.53904°, W 123.52497°; ACCURACY +OR- 24 FT,  WAYPOINT #46 GARMIN 60C "								
1	4	B	11	DF	1	31.1	1	31	1	31	1	31	1	33	2	31.2	2	Dead standing				OK									
1	4	B	12	DF	1	60.8	1	63.5	1	65.3	1	65.8	1	69	1	72.9	1					OK									
1	4	B	13	DF	1	27.6	1	27.3	4		4		4	 	4		4					OK									
1	4	B	14	DF	1	81.7	1	84.1	1	86.7	1	91.1	1	97.3	1	109.9	1					OK									
1	4	B	15	DF	1	25.8	1	25	4		4		4		4	 	4	Missing				OK									
1	4	B	16	DF	1	68.5	1	73.1	1	77	1	81.9	1	88.7	1	98.4	1					OK									
1	4	B	17	DF	1	29.1	1	29	1	30.2	1	28.8	1	28.8	4		4	"Dead, snag"			09- DEAD STANDING; BEATLES	OK									
1	4	B	18	DF	1	31.6	1	31.4	1	32.5	4		4		4		4	"Dead, snag"			09- DEAD STANDING; BEATLES	OK									
1	4	B	19	BM	1	28.3	1	29	1	30	1	30.8	1	32.5	1	34.2	1					OK									
1	4	B	20	DF	1	19.8	3		3		3		3		3		3					OK									
1	4	B	39	DF												24.8	1	"New tree, not previously included, on boarder, snag"													
1	4	C	1	DF	1	35.5	1	37.5	1	39.8	1	42.5	1	46.7	1	52.1	1	Tag 4831				OK									
1	4	C	2	DF	1	29.5	1	29.7	1	29.7	4		4	29.4	4		4	"Dead, snag"			09-DEAD STANDING BEATLES	OK									
1	4	C	3	DF	1	27.9	1	28.9	1	29.7	1	30.2	1	31.8	1	33.6	1					OK									
1	4	C	4	DF	1	24.1	1	23.9	1	25.2	1		4	 	4		4					OK									
1	4	C	5	DF	1	28.3	1	28.9	1	30.7	1	30.4	1	31.1	2	33.4	2					OK									
1	4	C	6	DF	1	17.8	1	17.3	4		4		4	 	4		4					OK									
1	4	C	7	DF	1	24.1	1	24.9	1	25.8	1	26.7	1	29.4	2	30.4	2				09- SUPPRESSED	OK									
1	4	C	8	DF	1	35.5	1	36.5	1	38.5	1	38.4	1	39.9	2	42.4	2				09- SUPPRESSED???	OK									
1	4	C	9	DF	1	30.2	1	32.2	1	35.7	1	37.5	1	41.8	2	47	2				09-SUPPRESSED???	OK									
1	4	C	11	DF	1	23.8	1	24.2	1	24.7	1	25.6	1	28.2	2	29.5	2				09- SUPPRESSED???	OK									
1	4	C	12	DF	1	38.4	1	40.1	1	42.1	1	44.5	1	47.1	1	52.5	1				09- CONNECTED TO #13	OK									
1	4	C	13	DF	1	21.2	1	21.1	1	22.3	1	21.4	1	22.7	2	23	2					OK									
1	4	C	14	DF	1	38.5	1	40.9	1	43.5	1	45.8	1	50	1	55.3	1					OK									
1	4	C	15	DF	1	21.2	1	21.5	1	23.9	1	24.8	1	29.3	2	33.8	2				09- suppressed	OK									
1	4	C	16	DF	1	23.1	1	23.4	1	23.6	1	24.3	1	25.3	2	28.7	2	Broken top			09- TREE HAS SPLIT TRUNKS WITH ONE DEAD	OK									
1	4	C	17	DF	1	27	1	27.7	1	28.4	1	29.5	1	33.5	2	35.2	2				09- suppressed	OK									
1	4	C	18	DF	1	26.9	1	27.5	1	28.2	1	29.8	1	33.2	2	36.7	2				09- suppressed	OK									
1	4	C	19	DF	1	46.9	1	50.4	1	53.3	1	55.2	1	 	3		3	"Fallen, confirmed LRR"			09- SUSPECTED DEAD	OK									
1	4	C	20	DF	1	35.8	1	37	1	38	1		4	 	4		4					OK									
1	4	C	21	DF	1	16.5	1		4		4	 	4	 	4		4					OK									
1	4	C	22	DF	1	22.6	1	22.9	1	22.9	1	23	1	 	4		4				09- SUSPECTED DEAD	OK									
1	4	C	23	DF	1	43.8	1	46.8	1	49.8	1	52.8	1	55.2	1	60.9	1					OK									
1	4	C	24	DF	1	22.4	1		4		4	 	4	 	4		4					OK									
1	4	C	25	CH	1	22.6	1	22.7	1		4		4	 	4		4					OK									
1	4	C	26	CH	1	21.6	1	17.3	1		4		4	 	4		4					OK									
1	4	C	27	WI	1	17.4	4		4		4		4	 	4		4					OK									
1	4	C	28	DF	1	28.6	1	29.2	1	29.7	1	30.4	1	31.6	2	31.2	2	Supressed			09-SUPPRESSED	OK									
1	4	C	29	DF	1	25.2	1	26	1	27.1	1	27.9	1	29.5	2	29.2	2				09-SUPPRESSED	OK									
1	4	C	30	DF	1	29.5	1	30.7	1	30.9	1	32.4	1	33	2	35.1	2				09-SUPPRESSED	OK									
1	4	C	31	DF	1	26.5	1	26.5	1	26	4		4	 	4		4	Snag			09-DEAD STANDING BEATLES	OK									
1	4	C	32	CH	1	24.1	1	24.6	1	24.9	1		4		4		4				missing	OK									
1	4	C	33	DF	1	26	1	27.1	1	27.4	1	29.5	1	28.5	2	28.6	2	"Suppressed, leaning"			09-LEANING	OK									
1	4	C	34	DF	1	41.6	1	43.5	1	26.2	1	44.5	1	53.6	1	58.8	1					OK									
1	4	D	1	BM	1	32.1	1	32.5	1	33.3	1	33.5	1	33.7	4		4	"Dead, snag"				OK									
1	4	D	2	BM	1	17.9	1	17.8	1	18	1	18.2	1	18.6	1			"Site has LRR, confirmed by previous surveys"				OK									
1	4	D	3	DF	1	35	1	36.5	1	37.5	1	38.1	1	38.6	4		4	Tag 4402				OK									
1	4	D	4	DF	1	29.2	1	32	1	35.2	1	38.5	1	42.7	2	45.4	2					OK									
1	4	D	5	DF	1	20	1	20	1	20	4		4	 	4		4					OK									
1	4	D	6	DF	1	45.8	1	50.6	1	55.3	1	58.2	1	63.9	1	70.1	1					OK									
1	4	D	7	DF	1	21.8	1	21.8	1	21.9	3		3	 	3		3					OK									
1	4	D	8	DF	1	25.4	1	28.2	1	30.8	1	33.4	1	37.4	1	44.6	1					OK		GPS NOTES 2009: FOR SITE 							
1	4	D	9	DF	1	21.9	1	24.1	1	25.8	1	28	1	30	1	35.8	2	Supressed				OK		"1-4D, GARMIN 60c  "							
1	4	D	10	DF	1	78.3	1	79.2	1	82.2	1	85.7	1	85.6	1	96.3	1					OK		WAYPOINT 48 ACCURACY +OR - 35FT							
1	4	D	11	DF	1	21.2	1	21.8	1	22.3	1	22.2	1	22.8	2	23.6	2					OK		"N44.53768, W123.52311 IN DEGREES"							
1	4	D	12	DF	1	23.8	1	24.4	1	24.6	1	24.8	1	25.2	2	26.6	2					OK									
1	4	D	13	DF	3		3		3		3		3		3		3	Missing			09- this is tree #27	OK									
1	4	D	14	DF	3		3		3		3		3		3		3					OK									
1	4	D	15	DF	3		3		3		3		3		3		3					OK									
1	4	D	16	DF	3		3		3		3		3		3		3					OK									
1	4	D	17	DF	3		3		3		3		3		3		3					OK									
1	4	D	18	DF	3		3		3		3		3		3		3					OK									
1	4	D	19	DF	3		3		3		3		3		3		3					OK									
1	4	D	20	DF	3		3		3		3		3		3		3					OK									
1	4	D	21	DF	3		3		3		3		3		3		3					OK									
1	4	D	22	DF	3		3		3		3		3		3		3					OK									
1	4	D	23	DF	3		3		3		3		3		3		3					OK									
1	4	D	24	DF	3		3		3		3		3		3		3					OK									
1	4	D	25	DF	3		3		3		3		3		3		3					OK									
1	4	D	26	DF	3		3		3		3		3		3		3					OK									
1	4	D	27	BM						18.7	1	20	1	22.2	1						09- THIS IS TREE #13	OK									
1	4	D	28	HL												18.6	1	"New tree, not previously included, on boarder"													
1	4	E	1	DF	1	71.7	1	75.9	1	78.4	1	83.1	1	90.5	1	103.5	1	Tag 4941				OK									
1	4	E	2	DF	1	21.9	1	21.7	1	21.7	1		4	 	4		4					OK									
1	4	E	3	DF	1	80.3	1	84.1	1	88.5	1	92.9	1	101.2	1	111.9	1					OK									
1	4	E	4	DF	1	34.1	1	34.4	1	35.3	1		3	 	3		3					OK									
1	4	E	5	RA	1	32.2	1	33.3	1	31.6	1	32.7	1	32.5	1	33	1					OK			GPS NOTES 2009: GARMIN 60C 						
1	4	E	6	RA	1	26.8	1	26.6	1		4		4	 	4		4					OK			ACCURACY + OR - 30FT						
1	4	E	7	RA	1	18.2	4		4		4		4	 	4		4					OK			WAYPOINT 49						
1	4	E	8	BM	1	30	1	30.7	1	32	1	32.5	1	32.4	4		4					OK			"N44.53769, W123.52261"						
1	4	E	9	RC	1	22	1	23.1	1	24.5	1	27	1	29.2	1	33.8	1					OK			FOR PLOT 1-4E						
1	4	E	10	RA	1	32.2	1	32.8	1	33.5	1	33.9	1	34	1	34.4	1	Snag				OK									
1	4	E	11	RC	1	22.8	1	23.9	1	25	1	27.1	1	31	1	36.4	1					OK									
1	4	E	12	DF	1	21.5	1		4		4		4	 	4		4					OK									
1	4	E	13	RA	1	29.1	1	29.1	1	29	1		4	 	4		4					OK									
1	4	E	14	DF	1	69.8	1	73.9	1	77.8	1	83.3	1	91.4	1	102.2	1					OK									
1	4	E	15	DF	1	34.7	1	35.2	4		4		4		4		4	"Dead, snag"				OK									
1	4	E	16	RA	1	27.9	1	28	1	28	4		4	 	4		4					OK									
1	4	E	17	BM	1	27.9	1	28.4	1	29.2	1	30.4	1	32.2	1	37	1					OK									
1	4	E	18	DF	1	60.3	1	63.2	1	67.1	1	69.8	1	76.6	1	84.9	1					OK									
1	4	E	19	RA	1	21.9	1	21.5	1	21.1	1		4	 	4		4					OK									
1	4	F	1	DF	1	46.3	1	49	1	52	1	54.8	1	59.6	1	64.9	1	Tag 4623				OK									
1	4	F	2	DF	1	50.9	1	54.2	1	56.7	1	59.6	1	63.6	1	71.9	1					OK									
1	4	F	3	DF	1	35.1	1	34.8	1	34.9	1	35	1	35.1	2	36.8	2				09- possible mistletoe	OK									
1	4	F	4	DF	1	23.8	4		4		4		4	23	4	 	4	Missing			"09-barely standing, dead"	OK									
1	4	F	5	DF	1	30	1	31.5	1	33.3	1	35.8	1	37.1	4		4	"Snag, 20' tall"			09- standing dead	OK									
1	4	F	6	DF	1	16.9	4		4		4		4	 	4		4					OK									
1	4	F	7	DF	1	18.5	4		4		4		4	 	4		4					OK									
1	4	F	8	DF	1	32.5	1	33.3	1	34.2	1	34.5	1	34.9	2	36.4	4	Dead standing			09- scar at DBH measured above the damage	OK									
1	4	F	9	DF	1	18.3	1	19.4						18.4	4		4	Snag			09- standing dead	OK		GPS NOTES 2009: GARMIN 60C 							
1	4	F	10	DF	1	45.5	1	48.6	1	51.4	1	54.5	1	60	1	67.6	1					OK		ACCURACY + OR - 27FT							
1	4	F	11	DF	1	27.6	1	27.6	1	27.9	1	28.2	1	28.9	2	30	2	Supressed				OK		WAYPOINT 47							
1	4	F	12	DF	1	29.1	1							27.8	4		4	Snag			09- standing dead	OK		"N44.53844, W123.52321 IN DEGREES"							
1	4	F	13	DF	1	32.3	1	33.5	1	35.5	1	37.4	1	38.8	1	40	1				09- lost top in ice storm possible and again recently	OK		FOR PLOT 1-4F							
1	4	F	14	DF	1	27.5	1	28	1	27.5	4		4	27.8	4		4	Snag			09- woodpecker holes and standing dead	OK		PLOT NOTES: THIS SITE IS SPREAD OUT 							
1	4	F	15	DF	1	52.3	1	56.2	1	60.5	1	65	1	71.8	1	78.7	1					OK		ON HILL AND DOWN INTO DRAW							
1	4	F	16	DF	1	16.7	3		3		3		3	 	3		3					OK									
1	4	F	17	DF	1	21.8	1	22	1	21.5	4		4		4	 	4	"Dead, snag"			09- standing dead	OK									
1	4	F	18	DF	1	17.2	3		3		3		3		3		3					OK									
1	4	F	19	DF	1	18.8	3		3		3		3		3		3	Snag			09-standing dead	OK									
1	4	F	20	DF	1	24.1	3		3		3		3		3		3					OK									
1	4	F	21	BM	1	42.1	1	42.2	1	42.2	1	42.3	1	43.4	1	42.2	1					OK									
1	4	F	22	BM	1	38	1	38.4	1	39	1	40	1	41.8	1	42.7	1					OK									
1	4	F	23	BM	1	32.8	1	32.2	1	32	1	31.9	1	32.5	1	32.5	1					OK									
1	4	F	24	BM	1	24.3	1	24	1	24	1	23.9	1	25	1	25.1	1					OK									
1	4	F	25	RA	1	51.4	1	51.3	1	52	1		4	 	4		4				09-snag standing dead in draw	OK									
1	4	F	26	BM	1	29.9	1	30.1	1	30.5	1	32.1	1	33	1	28.3	1				09- in draw	OK									
1	4	F	27	RA	1	51.5	1	51.4	1	51.5	1	51.8	1	 	4		4				"09- found similar sized RA down in presumed location, no paint visible"	OK									
1	4	F	28	DF	1	57.2	1	60.9	1	66.9	1	70.3	1	77.6	1	86	1					OK									
1	4	F	30	BM	1	25.7	1	25.7	1	25.5	4		4	 	4		4					OK									
1	4	F	31	BM							1	28.4	1	28.8	1						"09- part of the clump of 5 BM #21-24, seems strange that it would be a part of this group but that was the # previously painted on tree"	OK									
1	5	A	1	DF	1	24.6	1	25	1	25	4		4		4		4	Snag			09- standing dead	OK									
1	5	A	2	BM	1	24.2	1	24.5	1	24.3	1	27.5	1	 	4						09- broken below DBH	OK									
1	5	A	3	BM	1	18.1	1					15.6	1	17.5	1	19	1					OK									
1	5	A	4	DF	3	16.5	3		3		3		3	 	3		3					OK									
1	5	A	5	DF	1	44.6	1	48.5	1	53.1	1		3	 	3		3					OK									
1	5	A	6	DF	1	29.7	2	29.7	3		3		3	 	3		3					OK			GPS NOTES 2009: 						
1	5	A	7	DF	1	57.7	1	59.6	1	59.6	3		3	 	3		3					OK			FOR PLOT 1-5A						
1	5	A	8	DF	1	30.1	1	29.2	1	30.7	4		4		4		4	Dead & down			09- standing dead	OK			ACCURACY + OR - 23FT						
1	5	A	9	DF	1	39.4	1	41.5	1	43.9	1	46	1	49.8	1	53.8	1					OK			"N44.53298°, W123.53431°"						
1	5	A	10	DF	1	42.5	1	44.6	1	46.7	1	49.8	1	51.4	1	55.2	1					OK			GARMIN 60C  WAYPOINT 44						
1	5	A	11	DF	1	52.2	1	55.5	1	57.6	1	59.4	1	 	3		3				09- down PW	OK									
1	5	A	12	DF	1	52.5	1	54.7	1	56.7	1	56.6	1	60	1	65.9	1	Tag 4131				OK									
1	5	A	13	DF	1	26.7	1	27.1	4		4		4	 	4		4					OK									
1	5	A	14	DF	3		3		3		3		3		3		3					OK									
1	5	A	15	DF	3		3		3		3		3		3		3					OK		This site has had continueing incidences of PW 							
1	5	A	16	DF	3		3		3		3		3		3		3					OK		throughout the entire time of data collection							
1	5	A	17	DF	3		3		3		3		3		3		3					OK		It also has a lot of very slow growing DF							
1	5	A	18	DF	3		3		3		3		3		3		3					OK		I suspect PW in even the 1 condition DFs 2009							
1	5	A	19	DF	3		3		3		3		3		3		3					OK									
1	5	A	20	DF	3		3		3		3		3		3		3					OK									
1	5	B	1	DF	1	25.4	1	25.4	1	25.6	1	25.4	1	25.9	2	27.1	2	suppressed				OK									
1	5	B	2	DF	1	20.6	1	20.9	1	21.1	4		4		4		4				09- standing dead	OK									
1	5	B	4	DF	1	34.5	1	36.9	1	40.2	1	42.7	1	47.1	1	53.8	1					OK									
1	5	B	5	CH	1	25.2	1	25.2	4	25.4	4		4	 	4		4					OK									
1	5	B	6	DF	1	34.4	1	36.5	1	38.4	1	40	1	42.5	1	46.7	1					OK									
1	5	B	7	DF	1	21.8	1	23.1	1	24.5	1	24.6	1	24.5	2	25.6	2				09- SUPPRESSED	OK									
1	5	B	8	DF	1	26.4	1	26.8	1	27.2	1	28.9	1	28.5	2	29.9	2				09-SUPPRESSED	OK									
1	5	B	9	DF	1	34.5	2	34.8	2	34.9	3		3	 	3		3					OK									
1	5	B	10	DF	1	21.2	1	21.5	1	22.5	1	24.1	1	25.6	2	27.7	2				09-SUPPRESSED	OK									
1	5	B	11	DF	1	24.2	1	25.6	1	26.7	1	27.5	1	28.8	1	30.5	1					OK									
